transaction_id,customer_id,payment_date,amount,plan_type
1,974,2024-08-31,10.08,Basic
2,1808,2024-02-13,19.61,Premium
3,423,2024-03-07,20.599999999999998,Premium
4,398,2024-06-09,8.66,Basic
5,1379,2024-02-04,49.370000000000005,Enterprise
6,1625,2024-02-04,48.68,Enterprise
7,1232,2024-05-04,11.74,Basic
8,472,2024-05-19,50.35,Enterprise
9,396,2024-07-14,21.529999999999998,Premium
10,1402,2024-04-27,11.36,Basic
11,971,2024-08-25,48.96,Enterprise
12,58,2024-04-22,11.69,Basic
13,827,2024-03-10,10.91,Basic
14,134,2024-07-22,18.689999999999998,Premium
15,903,2024-01-30,20.479999999999997,Premium
16,235,2024-05-07,20.889999999999997,Premium
17,1539,2023-12-23,49.67,Enterprise
18,230,2024-05-16,11.870000000000001,Basic
19,1596,2024-09-01,48.330000000000005,Enterprise
20,1605,2024-06-02,50.56,Enterprise
21,1695,2024-03-02,18.909999999999997,Premium
22,1363,2024-04-09,18.729999999999997,Premium
23,918,2024-05-13,51.910000000000004,Enterprise
24,1776,2024-04-06,19.43,Premium
25,1619,2024-02-16,49.440000000000005,Enterprise
26,668,2024-09-20,49.57,Enterprise
27,460,2024-01-06,10.75,Basic
28,1875,2024-09-14,48.89,Enterprise
29,362,2024-08-09,8.34,Basic
30,736,2024-09-05,20.779999999999998,Premium
31,535,2024-09-11,49.39,Enterprise
32,1578,2024-03-25,49.84,Enterprise
33,396,2024-06-14,21.58,Premium
34,909,2024-05-22,51.38,Enterprise
35,1492,2023-11-27,19.81,Premium
36,322,2024-10-22,10.48,Basic
37,1022,2024-11-19,10.22,Basic
38,476,2024-04-18,19.41,Premium
39,1927,2024-03-24,19.15,Premium
40,871,2024-06-20,48.56,Enterprise
41,1563,2024-10-12,21.36,Premium
42,188,2024-06-04,9.31,Basic
43,571,2024-03-21,51.78,Enterprise
44,1441,2024-04-15,21.919999999999998,Premium
45,1270,2023-11-24,18.139999999999997,Premium
46,273,2024-08-27,50.61,Enterprise
47,1799,2024-08-01,11.31,Basic
48,327,2024-04-18,11.45,Basic
49,1485,2024-08-15,10.46,Basic
50,1394,2024-07-31,51.6,Enterprise
51,162,2024-05-01,8.02,Basic
52,1747,2024-07-27,20.569999999999997,Premium
53,1836,2024-09-23,10.49,Basic
54,760,2024-04-27,48.77,Enterprise
55,888,2024-02-19,18.25,Premium
56,1205,2024-04-02,49.6,Enterprise
57,1540,2024-03-04,51.17,Enterprise
58,181,2024-01-25,8.21,Basic
59,480,2024-04-23,19.41,Premium
60,1521,2024-07-03,19.45,Premium
61,1329,2024-07-28,8.75,Basic
62,1985,2024-02-02,51.47,Enterprise
63,784,2024-05-23,9.48,Basic
64,1172,2023-12-12,8.85,Basic
65,146,2024-02-22,49.160000000000004,Enterprise
66,381,2024-02-29,50.910000000000004,Enterprise
67,1410,2023-11-23,10.450000000000001,Basic
68,1463,2023-11-30,10.88,Basic
69,429,2024-01-30,21.259999999999998,Premium
70,331,2024-09-05,9.51,Basic
71,1354,2023-12-20,11.22,Basic
72,1887,2024-05-08,18.25,Premium
73,1987,2024-07-09,11.73,Basic
74,1757,2024-07-15,19.169999999999998,Premium
75,814,2024-11-11,9.14,Basic
76,882,2024-06-26,10.3,Basic
77,978,2024-06-05,11.0,Basic
78,1214,2024-08-13,19.56,Premium
79,74,2024-11-07,19.15,Premium
80,776,2024-05-11,20.61,Premium
81,104,2024-05-20,21.389999999999997,Premium
82,1598,2024-06-15,18.47,Premium
83,1553,2024-08-26,49.27,Enterprise
84,1512,2024-10-10,9.11,Basic
85,843,2024-02-17,9.71,Basic
86,1706,2024-04-22,21.159999999999997,Premium
87,580,2024-08-02,49.72,Enterprise
88,1479,2023-11-25,48.17,Enterprise
89,500,2024-09-02,11.56,Basic
90,1209,2024-02-20,48.92,Enterprise
91,110,2024-05-10,20.849999999999998,Premium
92,337,2024-04-21,20.299999999999997,Premium
93,1069,2024-03-30,19.959999999999997,Premium
94,1771,2024-10-27,51.27,Enterprise
95,1830,2024-11-01,10.780000000000001,Basic
96,1581,2023-11-29,20.72,Premium
97,1612,2024-08-31,8.02,Basic
98,236,2024-10-09,9.51,Basic
99,1737,2024-08-08,21.9,Premium
100,1686,2024-01-24,18.009999999999998,Premium
101,1538,2024-03-18,10.91,Basic
