usage_id,customer_id,feature_name,usage_frequency,last_used_date
1,1175,Feature C,254,2024-01-30
2,1702,Feature D,193,2024-09-07
3,703,Feature D,282,2024-05-27
4,351,Feature C,200,2024-06-03
5,208,Feature D,357,2024-07-13
6,155,Feature C,302,2024-11-14
7,1397,Feature D,424,2024-03-27
8,1534,Feature A,89,2024-09-20
9,270,Feature A,117,2024-03-15
10,31,Feature B,127,2024-05-20
11,1819,Feature C,157,2024-03-10
12,1707,Feature D,103,2024-03-24
13,856,Feature B,281,2024-06-21
14,1793,Feature B,159,2024-07-01
15,696,Feature C,133,2024-04-03
16,1962,Feature D,420,2024-04-22
17,962,Feature B,439,2024-07-02
18,1858,Feature C,40,2024-05-26
19,1248,Feature B,318,2024-04-09
20,1287,Feature D,112,2024-07-04
21,1535,Feature A,469,2024-09-29
22,1806,Feature D,212,2024-04-20
23,1222,Feature B,173,2024-03-22
24,790,Feature D,316,2023-12-26
25,1481,Feature D,111,2024-11-07
26,925,Feature C,242,2024-06-06
27,716,Feature B,186,2024-02-05
28,24,Feature C,296,2024-11-18
29,87,Feature C,91,2024-06-15
30,1321,Feature C,292,2024-02-03
31,385,Feature A,201,2024-02-13
32,1445,Feature C,451,2024-07-06
33,263,Feature D,26,2024-07-08
34,661,Feature B,59,2024-04-16
35,849,Feature C,463,2024-07-07
36,1546,Feature D,86,2024-05-26
37,994,Feature B,235,2023-12-29
38,665,Feature D,274,2024-07-04
39,383,Feature D,143,2023-12-24
40,956,Feature B,358,2024-11-22
41,835,Feature A,407,2024-01-15
42,869,Feature B,250,2024-01-04
43,886,Feature A,152,2024-08-18
44,773,Feature A,492,2024-03-22
45,524,Feature C,498,2024-03-02
46,113,Feature C,288,2024-11-18
47,808,Feature B,134,2024-04-12
48,233,Feature B,8,2024-08-01
49,1824,Feature C,172,2024-09-17
50,1915,Feature C,5,2024-10-25
51,1984,Feature C,1,2024-04-18
52,1740,Feature A,362,2023-12-18
53,1707,Feature A,121,2024-04-03
54,467,Feature D,72,2024-04-04
55,119,Feature D,27,2024-08-30
56,772,Feature B,206,2024-11-01
57,913,Feature C,9,2023-12-10
58,1960,Feature A,351,2024-01-25
59,66,Feature D,288,2024-09-15
60,1362,Feature A,413,2024-06-29
61,102,Feature B,466,2024-06-24
62,1529,Feature B,50,2024-07-31
63,670,Feature B,473,2024-05-20
64,1580,Feature C,179,2024-09-24
65,1843,Feature D,188,2024-03-07
66,1666,Feature D,309,2023-12-27
67,739,Feature C,233,2024-04-12
68,1254,Feature C,105,2024-05-29
69,306,Feature D,85,2024-07-07
70,112,Feature C,249,2024-08-17
71,1800,Feature B,325,2024-10-23
72,78,Feature A,483,2024-03-19
73,70,Feature C,46,2024-11-12
74,1966,Feature D,435,2024-05-17
75,32,Feature A,384,2024-09-19
76,1426,Feature C,249,2024-09-15
77,24,Feature A,169,2024-05-24
78,1297,Feature B,319,2024-09-07
79,273,Feature A,410,2024-11-04
80,1647,Feature B,46,2024-11-15
81,689,Feature B,490,2024-08-06
82,796,Feature D,18,2024-08-20
83,1988,Feature A,64,2024-02-26
84,265,Feature B,156,2024-11-20
85,565,Feature C,351,2024-06-20
86,268,Feature B,411,2024-10-15
87,830,Feature C,205,2024-07-28
88,756,Feature A,383,2024-11-12
89,386,Feature C,368,2024-09-15
90,423,Feature D,488,2024-03-06
91,1767,Feature C,332,2024-01-31
92,93,Feature B,420,2023-12-19
93,640,Feature D,144,2024-02-28
94,1427,Feature D,110,2024-05-02
95,292,Feature C,487,2024-11-06
96,1360,Feature B,249,2024-06-10
97,1697,Feature D,381,2024-11-21
98,581,Feature D,202,2024-03-30
99,649,Feature A,460,2024-05-27
100,1043,Feature D,140,2024-09-25
101,246,Feature B,107,2024-02-24
102,1549,Feature A,117,2024-11-16
103,290,Feature A,175,2024-04-06
104,657,Feature B,151,2024-06-08
105,1893,Feature C,336,2024-02-11
106,970,Feature D,24,2024-02-26
107,136,Feature D,470,2024-03-31
108,431,Feature D,4,2024-05-22
109,423,Feature C,133,2024-03-15
110,1351,Feature C,434,2024-10-01
111,62,Feature C,303,2024-07-06
112,312,Feature A,29,2023-12-18
113,1998,Feature A,225,2024-01-05
114,961,Feature B,58,2024-08-13
115,462,Feature A,337,2024-06-09
116,1869,Feature A,369,2023-12-16
117,539,Feature D,118,2024-05-10
118,1335,Feature B,159,2024-09-27
119,1700,Feature C,116,2024-03-13
120,1680,Feature B,296,2024-11-18
121,614,Feature B,306,2024-02-07
122,424,Feature A,416,2024-03-24
123,885,Feature B,420,2024-05-08
124,1384,Feature C,497,2024-04-02
125,127,Feature D,295,2023-12-16
126,1387,Feature A,303,2024-10-24
127,176,Feature A,69,2024-04-18
128,878,Feature D,348,2024-06-03
129,1469,Feature D,114,2024-01-29
130,1688,Feature C,467,2024-10-23
131,739,Feature B,342,2024-07-20
132,281,Feature C,291,2024-10-06
133,91,Feature C,28,2024-02-20
134,115,Feature A,343,2024-10-17
135,20,Feature A,204,2024-06-18
136,1064,Feature C,259,2024-07-11
137,939,Feature B,444,2023-12-08
138,450,Feature D,327,2024-02-22
139,1597,Feature C,449,2024-10-12
140,953,Feature B,126,2024-08-12
141,1310,Feature B,82,2024-04-07
142,53,Feature A,182,2024-08-28
143,224,Feature D,118,2023-12-10
144,173,Feature A,446,2024-05-23
145,1406,Feature B,42,2023-12-18
146,72,Feature C,347,2024-04-21
147,954,Feature D,481,2024-07-06
148,1455,Feature C,377,2024-06-26
149,1349,Feature A,135,2024-09-07
150,180,Feature C,200,2024-07-31
151,1066,Feature B,276,2024-02-27
152,105,Feature C,251,2023-12-22
153,1509,Feature A,412,2024-03-02
154,736,Feature A,483,2024-07-15
155,604,Feature B,319,2024-04-21
156,869,Feature A,480,2024-01-22
157,1596,Feature B,17,2024-09-22
158,1298,Feature A,195,2024-01-19
159,1210,Feature D,498,2024-10-24
160,975,Feature C,263,2024-10-20
161,1262,Feature B,453,2024-05-21
162,1035,Feature C,284,2024-10-13
163,1657,Feature D,299,2024-10-10
164,356,Feature C,229,2024-04-21
165,1896,Feature A,387,2024-06-26
166,885,Feature A,76,2024-03-20
167,1743,Feature D,172,2024-06-03
168,1106,Feature A,234,2024-02-09
169,1242,Feature B,395,2024-11-19
170,749,Feature C,34,2024-03-17
171,385,Feature B,118,2024-02-24
172,467,Feature A,408,2024-06-01
173,594,Feature B,117,2024-10-10
174,467,Feature A,463,2024-05-03
175,463,Feature A,277,2024-11-08
176,1939,Feature D,281,2024-10-29
177,331,Feature A,337,2024-06-07
178,490,Feature A,323,2024-01-12
179,389,Feature A,488,2023-12-10
180,1563,Feature B,442,2024-01-16
181,1164,Feature C,183,2024-07-26
182,1268,Feature D,343,2024-07-07
183,533,Feature C,396,2024-03-11
184,1729,Feature A,352,2024-11-13
185,294,Feature B,468,2024-04-15
186,1080,Feature D,403,2024-06-21
187,346,Feature D,266,2023-11-25
188,388,Feature D,399,2024-10-24
189,519,Feature D,7,2024-03-13
190,1699,Feature C,121,2024-04-09
191,1792,Feature D,239,2024-08-11
192,52,Feature C,129,2024-06-07
193,450,Feature B,134,2023-12-29
194,793,Feature C,245,2024-02-19
195,1192,Feature C,449,2024-07-26
196,805,Feature B,77,2023-12-31
197,1664,Feature C,385,2024-11-01
198,196,Feature B,97,2024-06-15
199,1684,Feature C,264,2024-03-03
200,1914,Feature A,421,2024-05-05
201,102,Feature C,238,2023-12-24
202,1076,Feature D,456,2024-08-29
203,1245,Feature A,22,2024-03-14
204,1522,Feature B,249,2024-06-28
205,1069,Feature D,295,2024-03-10
206,1352,Feature B,297,2024-02-13
207,1647,Feature B,225,2024-10-21
208,168,Feature A,163,2024-07-27
209,683,Feature B,478,2024-09-09
210,504,Feature B,117,2024-08-20
211,1376,Feature A,242,2024-05-11
212,212,Feature A,238,2024-03-13
213,1483,Feature A,437,2024-10-28
214,866,Feature C,63,2024-02-16
215,1157,Feature A,99,2024-09-06
216,827,Feature A,194,2024-05-04
217,1908,Feature B,43,2024-03-28
218,1505,Feature A,356,2024-05-30
219,1831,Feature C,288,2024-03-23
220,1826,Feature D,333,2024-11-06
221,945,Feature A,135,2024-05-11
222,964,Feature A,363,2024-03-03
223,829,Feature D,316,2024-07-11
224,793,Feature B,390,2023-12-25
225,198,Feature C,30,2024-08-12
226,1347,Feature D,280,2024-08-27
227,1619,Feature D,248,2023-12-05
228,295,Feature A,338,2023-11-29
229,422,Feature C,20,2024-11-15
230,865,Feature B,104,2023-11-29
231,802,Feature A,240,2024-03-27
232,18,Feature D,258,2024-07-03
233,1590,Feature B,210,2024-10-29
234,1273,Feature B,331,2024-08-14
235,879,Feature A,310,2024-07-05
236,1160,Feature D,64,2024-05-05
237,1603,Feature C,2,2024-10-24
238,1075,Feature C,28,2024-11-01
239,760,Feature D,47,2024-05-23
240,1869,Feature C,448,2024-09-08
241,211,Feature A,395,2024-11-14
242,368,Feature B,223,2024-01-10
243,274,Feature B,148,2024-05-26
244,924,Feature B,443,2024-01-08
245,41,Feature D,489,2024-11-05
246,1082,Feature D,496,2024-03-31
247,1747,Feature B,483,2024-07-09
248,600,Feature B,50,2023-11-23
249,909,Feature B,404,2024-07-27
250,373,Feature D,97,2024-11-20
251,1567,Feature D,365,2024-03-01
252,960,Feature A,138,2024-05-09
253,1435,Feature B,480,2024-07-04
254,1210,Feature B,265,2024-01-10
